engine threads runtime
spark 96 406354
spark 96 386215
spark 96 398711
giraph 96 411672
giraph 96 409862
giraph 96 410074
spark 64 588703
spark 64 566499
spark 64 552196
giraph 64 577535
giraph 64 568801
giraph 64 581443
spark 32 1045987
spark 32 1069232
spark 32 1021255
giraph 32 997322
giraph 32 1035611
giraph 32 1039397
spark 16 1365428
spark 16 1277852
spark 16 1354969
giraph 16 1333310
giraph 16 1283944
giraph 16 1327249
spark 8 2201109
spark 8 2290478
spark 8 2261952
giraph 8 2162682
giraph 8 2220962
giraph 8 2198172
spark 4 4613848
spark 4 4532125
spark 4 4299741
giraph 4 4180620
giraph 4 4405623
giraph 4 4132437
